Date,DBA,DBC,DIA,EEM,EFA,EWG,EWJ,EWT,EWU,FXB,FXE,FXY,GLD,HYG,IBB,IEF,ITA,IWM,IYR,KRE,LQD,QQQ,SHY,SLV,SMH,SPY,TLT,USO,UUP,VGK,VNQ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XRT
2015-10-08,18.266355514526367,13.264915466308594,137.9346923828125,28.24615478515625,44.78441619873047,20.426990509033203,39.18470764160156,16.34486961364746,23.43637466430664,136.80288696289062,105.03462982177734,80.8499984741211,109.13999938964844,48.232322692871094,99.68363189697266,84.43382263183594,51.610294342041016,100.84930419921875,53.93009567260742,32.81220245361328,79.8929672241211,98.21253967285156,69.30005645751953,14.989999771118164,23.570497512817383,169.06263732910156,90.78467559814453,128.32000732421875,20.751352310180664,37.18755340576172,51.89881896972656,17.86797523498535,22.757892608642578,15.593828201293945,44.158843994140625,18.335548400878906,37.298702239990234,21.04412078857422,15.722027778625488,57.202823638916016,34.64120864868164,39.558841705322266
2015-10-09,18.292144775390625,13.3240966796875,138.25048828125,28.348695755004883,44.86524963378906,20.599567413330078,39.2821044921875,16.44934844970703,23.316997528076172,136.3847198486328,105.76641845703125,80.66000366210938,110.87000274658203,48.23796844482422,100.0892562866211,84.48100280761719,51.8800048828125,101.05013275146484,53.87207794189453,32.410743713378906,79.92740631103516,98.65706634521484,69.30005645751953,15.119999885559082,23.298542022705078,169.16336059570312,91.02289581298828,127.91999816894531,20.651100158691406,37.19469451904297,51.81355285644531,17.859878540039062,22.610309600830078,15.493826866149902,44.30824661254883,18.415468215942383,37.381858825683594,21.009294509887695,15.646986961364746,57.46310806274414,34.681373596191406,39.499019622802734
2015-10-12,18.3695068359375,13.112737655639648,138.58245849609375,28.13572120666504,44.77706527709961,20.58388328552246,39.3470344543457,16.414520263671875,23.224159240722656,136.72108459472656,105.84245300292969,80.79000091552734,111.30999755859375,48.14727020263672,100.11844635009766,84.76405334472656,51.8845100402832,100.90170288085938,54.162296295166016,32.665523529052734,80.25080108642578,98.89787292480469,69.28386688232422,15.130000114440918,23.334211349487305,169.32305908203125,91.71516418457031,122.4800033569336,20.6343936920166,37.0519905090332,52.180877685546875,17.70615577697754,22.31841278076172,15.507163047790527,44.31654739379883,18.43766212463379,37.48011016845703,21.141653060913086,15.786335945129395,57.61423110961914,34.84648132324219,39.38794708251953
2015-10-13,18.489852905273438,13.028193473815918,138.1533660888672,27.678232192993164,44.21120071411133,20.395612716674805,38.92499542236328,16.217174530029297,22.812997817993164,135.98468017578125,106.06105041503906,80.97000122070312,111.86000061035156,48.03395462036133,96.94493103027344,84.84273529052734,51.35856246948242,99.52223205566406,53.76322937011719,32.410743713378906,80.18888854980469,98.25885009765625,69.30825805664062,15.15999984741211,23.048885345458984,168.25599670410156,91.87151336669922,120.4800033569336,20.600980758666992,36.63102722167969,51.7741813659668,17.63738441467285,22.08555030822754,15.387164115905762,43.84341812133789,18.397703170776367,37.25338363647461,21.009294509887695,15.75060749053955,56.892173767089844,34.65904998779297,38.90094757080078
2015-10-14,18.412485122680664,13.06201171875,136.88238525390625,27.891199111938477,44.29939270019531,20.434837341308594,38.470497131347656,16.333263397216797,23.011947631835938,137.9303436279297,106.99241638183594,81.72000122070312,113.80999755859375,47.99993896484375,97.86000061035156,85.30657196044922,50.31114959716797,98.54438781738281,53.41497802734375,31.499717712402344,80.50535583496094,98.10142517089844,69.40616607666016,15.420000076293945,23.739906311035156,167.4493408203125,92.67543029785156,120.4000015258789,20.425546646118164,36.85221862792969,51.38718795776367,17.778972625732422,22.27577781677246,15.260489463806152,43.37028884887695,18.36219024658203,36.82255935668945,21.009294509887695,15.747036933898926,56.78300857543945,34.30653381347656,38.52500534057617
2015-10-15,18.30074119567871,13.028193473815918,138.7039337158203,28.569555282592773,45.05633544921875,20.67801284790039,39.444419860839844,16.681520462036133,23.449634552001953,137.94850158691406,105.97551727294922,81.5999984741211,113.29000091552734,48.11329650878906,102.13677215576172,85.01569366455078,50.828102111816406,100.90170288085938,54.02442932128906,32.07875442504883,80.47095489501953,99.71282196044922,69.36537170410156,15.390000343322754,23.900402069091797,170.02041625976562,92.2213363647461,121.04000091552734,20.5592098236084,37.35166931152344,52.089054107666016,17.82750701904297,22.6759033203125,15.607168197631836,43.84341812133789,18.597484588623047,37.15512466430664,20.946605682373047,15.979289054870605,58.05084991455078,34.75276184082031,39.02056121826172
2015-10-16,18.223377227783203,13.036646842956543,139.2223358154297,28.593212127685547,45.01958084106445,20.58388328552246,39.63922119140625,16.69312858581543,23.39658546447754,137.51210021972656,105.75691986083984,81.13999938964844,112.48999786376953,48.33433532714844,101.99398040771484,84.94495391845703,50.697750091552734,100.77071380615234,54.45977783203125,32.094200134277344,80.49852752685547,100.12957000732422,69.33272552490234,15.279999732971191,23.99848747253418,170.79342651367188,92.25110626220703,121.76000213623047,20.592622756958008,37.244632720947266,52.48261260986328,17.835607528686523,22.705415725708008,15.700498580932617,43.61930465698242,18.632997512817383,37.510337829589844,21.34505271911621,16.000730514526367,58.57140350341797,34.93572998046875,39.225624084472656
2015-10-19,18.197587966918945,12.799925804138184,139.41671752929688,28.301372528076172,44.86524963378906,20.6074161529541,39.444419860839844,16.542219161987305,23.316997528076172,137.757568359375,105.50981140136719,81.08999633789062,112.0199966430664,48.464717864990234,102.51968383789062,84.90559387207031,50.67078399658203,100.96283721923828,55.105506896972656,32.155967712402344,80.49159240722656,100.7037582397461,69.357177734375,15.109999656677246,24.016311645507812,170.87745666503906,91.998046875,118.63999938964844,20.651100158691406,37.159019470214844,53.21727752685547,17.71019744873047,22.256103515625,15.687171936035156,43.67738723754883,18.704044342041016,37.67660140991211,21.59443473815918,16.01144790649414,58.781307220458984,35.100830078125,39.481937408447266
2015-10-20,18.386699676513672,12.825287818908691,139.32774353027344,28.29347801208496,44.68153381347656,20.599567413330078,39.21717834472656,16.577043533325195,23.26395034790039,137.52117919921875,105.61434936523438,80.91000366210938,112.7300033569336,48.510047912597656,99.28125762939453,84.61470031738281,50.778663635253906,100.82310485839844,55.17080307006836,32.565147399902344,80.34024810791016,100.18512725830078,69.31644439697266,15.1899995803833,23.967275619506836,170.65895080566406,91.43230438232422,117.83999633789062,20.6343936920166,37.10193634033203,53.197601318359375,17.738515853881836,22.31841278076172,15.780502319335938,43.96793746948242,18.655197143554688,37.6539306640625,21.615331649780273,16.065046310424805,57.85771560668945,35.05620574951172,39.601558685302734
2015-10-21,18.31793212890625,12.715380668640137,138.8983154296875,27.88331413269043,44.659481048583984,20.654481887817383,39.736610412597656,16.321653366088867,23.118051528930664,137.26661682128906,105.61434936523438,80.8499984741211,111.7300033569336,48.459041595458984,98.79450225830078,84.90559387207031,50.944984436035156,99.2864761352539,54.97492599487305,31.9783878326416,80.73931121826172,99.57389068603516,69.34091186523438,14.989999771118164,24.011859893798828,169.600341796875,92.3404769897461,115.44000244140625,20.65945816040039,36.9092903137207,53.00080108642578,17.580751419067383,22.042917251586914,15.667167663574219,43.97622299194336,18.513134002685547,37.6614990234375,21.632749557495117,16.03289031982422,57.337162017822266,34.900020599365234,39.09744644165039
2015-10-22,18.231969833374023,12.75765323638916,141.58755493164062,28.459125518798828,45.159210205078125,20.98394775390625,40.22358703613281,16.60025978088379,23.34353256225586,137.09384155273438,103.49504089355469,80.37999725341797,111.69000244140625,48.47602081298828,99.32994079589844,84.99210357666016,52.2126579284668,100.15956115722656,55.5771369934082,32.54198455810547,80.91132354736328,101.60205078125,69.36537170410156,15.109999656677246,24.743003845214844,172.46551513671875,92.4968032836914,116.08000183105469,20.9601993560791,37.266048431396484,53.4665412902832,18.062137603759766,22.439756393432617,15.92050552368164,45.2047004699707,18.93045997619629,38.40974426269531,21.906513214111328,16.218700408935547,56.99293899536133,35.359649658203125,38.97785186767578
2015-10-23,18.111631393432617,12.681563377380371,142.8592071533203,28.624765396118164,45.60749053955078,21.336950302124023,40.61315155029297,16.681520462036133,23.476165771484375,136.5120086669922,102.59220886230469,79.87999725341797,111.5,48.64606475830078,102.6300048828125,84.51248931884766,52.43292999267578,101.14614868164062,55.06922912597656,33.30630111694336,80.61543273925781,104.44519805908203,69.30825805664062,15.119999885559082,25.02387046813965,174.3560333251953,91.70772552490234,114.16000366210938,21.135635375976562,37.58711624145508,52.948333740234375,18.211814880371094,22.387285232543945,16.09384536743164,45.37070846557617,19.45876693725586,38.34928894042969,21.64319610595703,15.932840347290039,58.21036911010742,35.5336799621582,38.4395637512207
