asset_i,asset_j,corr_train,beta_train,spread_half_life,spread_vol,spread_lag1_autocorr,corr_rank,mean_reversion_rank,spread_vol_rank,pair_selection_score
XLF,XLI,0.8904961764431527,1.014639120745283,0.6280649661964527,0.007197447580010276,-0.10365208160444367,0.9699248120300752,0.9774436090225563,0.18045112781954886,0.8541353383458646
EEM,EWT,0.9002247645733392,0.9804858858734782,0.615649332915697,0.006109328608799453,-0.12586610623057387,0.9849624060150376,1.0,0.03759398496240601,0.8481203007518797
SMH,XLK,0.8866587576231888,1.0753034197562967,0.6549914693690195,0.008335271471228957,-0.05833966819821491,0.9624060150375939,0.8421052631578947,0.43609022556390975,0.8413533834586466
KRE,XLF,0.9148778415730264,1.2100251797702566,0.6615823475118213,0.008446934299277557,-0.04769767670023642,0.9924812030075187,0.7518796992481203,0.46616541353383456,0.8293233082706767
SMH,XLY,0.7982603115541955,1.1494181377749977,0.6288539695224261,0.010856780042214173,-0.10229702790150588,0.6992481203007519,0.9699248120300752,0.8947368421052632,0.8233082706766918
XLB,XLF,0.8370017428123643,0.7440912813925687,0.6439205413599806,0.00769523851140638,-0.07644250729462525,0.8721804511278195,0.924812030075188,0.3082706766917293,0.806015037593985
EFA,EWJ,0.8711795545277585,0.9409968372478839,0.6448707105297801,0.005687436757662701,-0.07476490309175644,0.9323308270676691,0.9097744360902256,0.03007518796992481,0.7890977443609022
IWM,XLB,0.8492714696835904,0.8815644699631294,0.6557067685199254,0.007706930298468883,-0.05709122761047178,0.8947368421052632,0.8270676691729323,0.3157894736842105,0.7842105263157895
EFA,XLB,0.8355631871178363,0.6882875716180302,0.6344940728850038,0.006364300031320294,-0.09235362512904892,0.8646616541353384,0.9548872180451128,0.06766917293233082,0.7766917293233082
EFA,IWM,0.8354620702636113,0.6629943448656602,0.6442080240057751,0.00636608117131935,-0.07593882145926639,0.8571428571428571,0.9172932330827067,0.07518796992481203,0.7609022556390976
VGK,XLB,0.8198241489435377,0.7461737810454587,0.6427435344160197,0.00732922579613222,-0.07830019247375476,0.7894736842105263,0.9398496240601504,0.24060150375939848,0.7597744360902254
IWM,VGK,0.8145443696784272,0.9289728290458087,0.6563151848509313,0.008468123275613207,-0.05609589835840477,0.7819548872180451,0.8120300751879699,0.47368421052631576,0.7462406015037594
IWM,XRT,0.8510797683171953,0.787050189503633,0.6679423072168558,0.007664305066843396,-0.03773067598779028,0.9097744360902256,0.6616541353383458,0.3007518796992481,0.731578947368421
EFA,XLI,0.8450835422637548,0.7051307780687838,0.6590537362695995,0.006193316106553243,-0.051670725038163244,0.8872180451127819,0.7819548872180451,0.05263157894736842,0.7251879699248119
KRE,XLI,0.7942206041841936,1.1968838098902628,0.6661168770009064,0.012712943867146952,-0.04060340303066602,0.6691729323308271,0.6917293233082706,0.9473684210526315,0.718796992481203
XLB,XLI,0.8947806874931612,0.9063501262283276,0.6780727042871414,0.006279181337241456,-0.0222340267600378,0.9774436090225563,0.5864661654135338,0.06015037593984962,0.7030075187969925
XLY,XRT,0.8337026601646028,0.6611584639289527,0.6628868123061953,0.006912779216509995,-0.04563655520807922,0.8345864661654135,0.7293233082706767,0.12781954887218044,0.6917293233082707
VGK,XLI,0.8235251721812322,0.7592338351034887,0.6674089357348677,0.007260931896355225,-0.038500776173425934,0.8195488721804511,0.6766917293233082,0.20300751879699247,0.6770676691729323
EEM,SMH,0.7658951672591674,0.5961696468146154,0.6329815057663798,0.009021261392044268,-0.09510210105389012,0.49624060150375937,0.9624060150375939,0.6090225563909775,0.6763157894736842
IWM,XLY,0.8669874169917585,1.0109986618729137,0.6847318897156963,0.0072744543573523175,-0.01228956581603802,0.924812030075188,0.518796992481203,0.21052631578947367,0.675563909774436
