period,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,hit_rate,average_daily_turnover,average_transaction_cost,average_gross_exposure,average_net_exposure,market_beta_spy,start,end
train,0.002135597185496829,0.007689782461802616,0.2812641400577668,0.1820325194213566,0.11310615326509171,-0.018881352816336516,0.053910402429764616,0.06537585421412301,1.6343963553530752e-05,0.032687927107061504,0.0,0.003212718146052438,2015-10-09,2020-12-31
validation,0.02356889738157064,0.016492608913444458,1.4207394182611883,1.23630480603443,2.7053003666276547,-0.00871211850348097,0.06759443339960239,0.07375745526838966,1.8439363817097414e-05,0.03687872763419483,0.0,0.004603995358421958,2021-01-04,2022-12-30
test,0.002433313968270845,0.008851188560316437,0.27899641632651756,0.2107931852396613,0.16654321831021515,-0.014610705815342073,0.055491329479768786,0.07121387283236993,1.7803468208092487e-05,0.03560693641618496,0.0,0.002123188470120365,2023-01-03,2026-06-15
