date,IC,rank_IC
2016-10-10,-0.007391395077306765,-0.009022556390977442
2016-10-11,-0.046761603483223606,-0.013533834586466165
2016-10-12,-0.19352631782150298,-0.16992481203007515
2016-10-13,0.006048644183846833,0.24962406015037594
2016-10-14,0.2512638808627091,0.4060150375939849
2016-10-17,0.15559093193466397,0.04210526315789473
2016-10-18,0.024281818132465483,0.03458646616541353
2016-10-19,0.4058964198865157,0.23693119388969136
2016-10-20,0.11635402743821041,0.10676691729323308
2016-10-21,-0.06897595214819323,-0.18051900486833627
2016-10-24,0.17470907708183023,0.20601503759398496
2016-10-25,-0.2519606387335854,-0.193984962406015
2016-10-26,-0.24832474017041603,-0.10977443609022557
2016-10-27,0.5092550667402375,0.5654135338345864
2016-10-28,-0.02171839966416047,-0.1969924812030075
2016-10-31,0.5655173800268761,0.6917293233082705
2016-11-01,0.004846866413894456,0.03159082585195885
2016-11-02,0.046438743159164804,-0.010526315789473682
2016-11-03,0.47513824681872446,0.45563909774436084
2016-11-04,-0.3559543143332918,-0.5007518796992482
2016-11-07,-0.602880842336028,-0.6060150375939849
2016-11-08,0.3615729671505325,0.3639097744360902
2016-11-09,-0.7751102160064623,-0.7641971206092903
2016-11-10,-0.6213060545831215,-0.544360902255639
2016-11-11,-0.5887533075693943,-0.5533834586466165
2016-11-14,0.5477452209845035,0.593984962406015
2016-11-15,-0.07607283627998768,-0.03157894736842105
2016-11-16,0.21058008717820492,0.08421052631578946
2016-11-17,0.32037315591905297,0.23157894736842105
2016-11-18,0.468441490286017,0.4451127819548871
2016-11-21,0.3354745168372692,0.3142857142857143
2016-11-22,-0.4022009806286692,-0.3383458646616541
2016-11-23,0.17432610612877528,0.06766917293233082
2016-11-25,0.012346962178977168,-0.10225563909774435
2016-11-28,0.1142329022638775,0.1819548872180451
2016-11-29,0.1665646905051086,0.23609022556390977
2016-11-30,0.030291004277572905,-0.03308270676691729
2016-12-01,0.7815529240619971,0.7368421052631579
2016-12-02,0.19690893433419446,0.26315789473684204
2016-12-05,-0.27267654907321637,-0.17593984962406017
2016-12-06,0.4563548859276466,0.35939849624060144
2016-12-07,0.776902325151917,0.78796992481203
2016-12-08,0.5106005298757202,0.6962406015037594
2016-12-09,-0.4849548117590214,-0.5203007518796992
2016-12-12,-0.33585004736007934,-0.19999999999999998
2016-12-13,-0.20991846874826328,-0.08421052631578946
2016-12-14,-0.37168352083875406,-0.3037593984962406
2016-12-15,0.7074904812618845,0.5849624060150376
2016-12-16,0.48109856763265163,0.4646616541353384
2016-12-19,-0.20817564533293062,-0.1894736842105263
2016-12-20,0.41747534719975604,0.4360902255639097
2016-12-21,-0.21027811905041685,-0.07969924812030074
2016-12-22,-0.3471522059734356,-0.35488721804511275
2016-12-23,0.31796969031470423,0.2857142857142857
2016-12-27,0.47409537705733884,0.5774436090225563
2016-12-28,-0.13198999894790261,-0.18045112781954886
2016-12-29,-0.24915803268693393,-0.30526315789473685
2016-12-30,-0.25446756126865705,-0.13383458646616542
2017-01-03,0.16588333929274174,0.21654135338345865
2017-01-04,0.23771935609290634,0.33383458646616543
2017-01-05,0.044506125499694266,0.11879699248120301
2017-01-06,0.2292154568994367,0.1533834586466165
2017-01-09,0.33091635058118096,0.30977443609022554
2017-01-10,0.5325677928030446,0.6390977443609022
2017-01-11,-0.4366577436377071,-0.4526315789473684
2017-01-12,0.7313508828258426,0.7969924812030074
2017-01-13,0.605415630865888,0.5473684210526315
2017-01-17,0.6784089958717848,0.6902255639097743
2017-01-18,0.3271617199379845,0.37293233082706767
2017-01-19,0.4168712786157567,0.4496240601503759
2017-01-20,-0.17314790739071892,-0.3654135338345864
2017-01-23,0.2783083613915084,0.2421052631578947
2017-01-24,0.28189396652656123,0.16541353383458643
2017-01-25,-0.08086206626815194,0.08571428571428572
2017-01-26,0.18474822133787314,0.28120300751879695
2017-01-27,0.0914167520701807,-0.009022556390977442
2017-01-30,-0.06445033938399156,-0.09022556390977443
2017-01-31,0.5721104528622184,0.4842105263157894
2017-02-01,-0.04054162597936144,0.17142857142857143
2017-02-02,0.43595131033315976,0.41052631578947363
2017-02-03,0.1419540985586159,0.17142857142857143
2017-02-06,-0.10465987122940308,-0.16240601503759397
2017-02-07,0.1493983185142496,0.15789473684210525
2017-02-08,0.2788387054666002,0.28872180451127816
2017-02-09,-0.08136725171624425,-0.07218045112781954
2017-02-10,-0.13444592551140033,-0.23157894736842105
2017-02-13,0.5982835839287887,0.6511278195488721
2017-02-14,-0.19612640460320557,-0.22406015037593985
2017-02-15,0.08868274745395703,0.09172932330827067
2017-02-16,0.2826431075946855,0.1789473684210526
2017-02-17,-0.5869954837413058,-0.49323308270676686
2017-02-21,0.24317026292196423,0.26616541353383455
2017-02-22,-0.4555009288580388,-0.5233082706766917
2017-02-23,0.8927226778655457,0.9172932330827066
2017-02-24,-0.042861576526302465,-0.1789473684210526
2017-02-27,0.5508089338726736,0.5157894736842105
2017-02-28,0.07853062516075796,0.03909774436090225
2017-03-01,0.5782905447797955,0.5278195488721804
2017-03-02,0.1391873047436202,-0.025563909774436087
2017-03-03,-0.3168566193727211,-0.39999999999999997
2017-03-06,-0.42434849089252696,-0.5353383458646617
2017-03-07,-0.05538208354355417,-0.11278195488721804
