entry_q,exit_q,min_entry,top_n,max_hold,cost_bps,full_sharpe,full_ret,full_gross,full_turnover,val_sharpe,val_ret,test_sharpe,test_ret
0.9,0.5,0.25,1,1,0.0,0.7389234187435386,0.004473753444243611,0.044972067039106146,0.08994413407821229,0.6182791079110929,0.003931610559581689,0.9221901831248278,0.007024395172938291
0.9,0.5,0.25,1,1,5.0,-1.124703494590127,-0.006845858225446477,0.044972067039106146,0.08994413407821229,-1.2429563743508047,-0.007968200508752354,-0.6711830366764788,-0.0051207197117321135
0.9,0.5,0.25,1,3,0.0,0.2746529035393567,0.0032029192208522517,0.0887632560419772,0.11345548147423251,-0.059788173709859026,-0.0007740078016905683,0.6717833237538384,0.00967397393860625
0.9,0.5,0.25,1,3,5.0,-0.9243379603296635,-0.01103680885012348,0.0887632560419772,0.11345548147423251,-1.2978846752046205,-0.015342251179083388,-0.40615941726907956,-0.005961186054551093
0.9,0.5,0.25,1,5,0.0,0.2715671897979155,0.003306648426826486,0.09215046417644833,0.11307720936693261,-0.03291070925332852,-0.0004758124679934417,0.6084142324741724,0.008938647243032616
0.9,0.5,0.25,1,5,5.0,-0.8738923348951803,-0.010887024164349723,0.09215046417644833,0.11307720936693261,-1.2286461960148611,-0.01502004150982017,-0.4437395697600555,-0.006633548393553346
0.9,0.5,0.25,3,1,0.0,0.6105968023980497,0.002899154100390877,0.04428305400372439,0.08856610800744878,0.2801322104415733,0.0016411327987557733,0.8663258293024074,0.004356555511508375
0.9,0.5,0.25,3,1,5.0,-1.7080617656889638,-0.008230777743193252,0.04428305400372439,0.08856610800744878,-1.675040248356596,-0.01003355489399993,-1.4973155620336442,-0.007573708855832306
0.9,0.5,0.25,3,3,0.0,0.28173493809119243,0.0021073885901399247,0.07298939502766813,0.10493716577244848,0.14297433999891826,0.0012181689574506382,0.6503018721768385,0.005189850409877739
0.9,0.5,0.25,3,3,5.0,-1.4757287931024632,-0.011055136837266666,0.07298939502766813,0.10493716577244848,-1.4037549290936784,-0.012231765238267744,-1.1640926690653624,-0.009174455455918662
0.9,0.5,0.25,3,5,0.0,0.3049254447639667,0.0023121962836034626,0.07465016375028789,0.10485317878902016,0.2367097544765541,0.002061125026646904,0.597831465683427,0.0048127295278721505
0.9,0.5,0.25,3,5,5.0,-1.4331477566822275,-0.010842355613312704,0.07465016375028789,0.10485317878902016,-1.3065174199944412,-0.011482545058584703,-1.2004626598464752,-0.009513420841155917
0.95,0.5,0.25,1,1,0.0,0.42604272248369857,0.0021156906177992596,0.029590316573556794,0.05918063314711359,-0.09417898686472971,-0.0005214763107169729,0.6067384476959257,0.003656935356160629
0.95,0.5,0.25,1,1,5.0,-1.0584705465418909,-0.005329337306170023,0.029590316573556794,0.05918063314711359,-1.5888940530695115,-0.008725489273155973,-0.7245031532739173,-0.004395376229006098
0.95,0.5,0.25,1,3,0.0,0.2806308813005761,0.002826468925689607,0.06024585165865103,0.07553254779710888,-0.14037062349811766,-0.0015783360258606605,0.38614551757621907,0.005141760572367815
